vb,vl,vrl,prlt,idx,rpd,rpp,vpp,teq,tt,am,total
8940.49,8349.41,3349.41,66.99,CDI,0.0222,24.64,6232.1,LCI/LCA 98.17% CDI,15.93,140000.0,115.5
1556.08,1472.67,472.67,47.27,CDI,0.0222,18.25,1182.46,LCI/LCA 98.17% CDI,15.93,160000.0,115.5
3190.21,3190.21,2170.35,212.81,CDI,0.0222,54.08,1571.44,CDB CDI + 2.35%,15.92,80000.0,2.0
3190.12,3190.12,2169.69,212.62,CDI,0.0222,54.05,1571.97,CDB CDI + 2.35%,15.92,80000.0,2.0
1555.5,1472.17,472.17,47.22,CDI,0.0222,18.27,1182.72,LCI/LCA 97.96% CDI,15.89,160000.0,115.25
1555.5,1472.17,472.17,47.22,CDI,0.0222,18.27,1182.72,LCI/LCA 97.96% CDI,15.89,160000.0,115.25
1342.16,1290.84,290.84,29.08,CDI,0.0222,11.81,1118.13,LCI/LCA 97.75% CDI,15.85,190000.0,115.0
2082.08,1919.77,919.77,91.98,CDI,0.0222,32.08,1320.82,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
1796.15,1676.72,676.72,67.67,CDI,0.0222,24.88,1248.82,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
2086.95,1923.91,923.91,92.39,CDI,0.0222,32.2,1321.99,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
10313.61,9516.56,4516.56,90.33,CDI,0.0222,31.61,6580.72,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
1340.6,1289.51,289.51,28.95,CDI,0.0222,11.76,1117.63,LCI/LCA 97.75% CDI,15.85,190000.0,115.0
13405.95,12895.06,2895.06,28.95,CDI,0.0222,11.8,11180.46,LCI/LCA 97.75% CDI,15.85,190000.0,115.0
178.36,166.61,66.61,66.61,CDI,0.0222,24.64,124.64,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
206.39,190.43,90.43,90.43,CDI,0.0222,31.76,131.76,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
1031.96,952.17,452.17,90.43,CDI,0.0222,31.76,658.82,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
1.33,1.28,0.28,28.0,CDI,0.0222,11.61,1.12,LCI/LCA 94.88% CDI,15.85,190000.0,115.0
1.54,1.46,0.46,46.0,CDI,0.0222,17.98,1.18,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
1.78,1.67,0.67,67.0,CDI,0.0222,24.61,1.25,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
2.06,1.9,0.9,90.0,CDI,0.0222,31.71,1.32,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
7720.3,7312.26,2312.26,46.25,CDI,0.0222,17.98,5899.17,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
1544.06,1462.45,462.45,46.24,CDI,0.0222,17.98,1179.83,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
1660.0,1561.0,561.0,56.1,CDI,0.0222,21.28,1212.8,LCI/LCA 97.75% CDI,15.85,150000.0,115.0
1782.56,1665.18,665.18,66.52,CDI,0.0222,24.61,1246.14,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
8991.23,8392.54,3392.54,67.85,CDI,0.0222,25.03,6251.52,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
10404.33,9593.68,4593.68,91.87,CDI,0.0222,32.17,6608.75,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
577.57,564.0,64.0,12.8,CDI,0.0222,5.64,528.22,LCI/LCA 94.88% CDI,15.85,220000.0,115.0
892.32,833.48,333.48,66.7,CDI,0.0222,24.67,623.35,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
5779.07,5642.73,642.73,12.85,CDI,0.0222,5.67,5283.36,LCI/LCA 94.88% CDI,15.85,220000.0,115.0
1544.06,1462.45,462.45,46.24,CDI,0.0222,17.98,1179.83,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
1553.1,1470.14,470.14,47.01,CDI,0.0222,18.25,1182.46,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
8918.03,8330.32,3330.32,66.61,CDI,0.0222,24.64,6232.1,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1798.25,1678.51,678.51,67.85,CDI,0.0222,25.03,1250.3,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1798.25,1678.51,678.51,67.85,CDI,0.0222,25.03,1250.3,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1554.01,1470.91,470.91,47.09,CDI,0.0222,18.27,1182.72,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
