tir,vir,dc,du,rbd,rbm,rba,rbp,rlp,rld,rlm,rla
15.0,50.27,721,495,0.058406,1.2337,15.85,33.51,28.49,0.050649,1.07,13.61
15.0,81.61,1080,744,0.058406,1.2337,15.85,54.41,46.25,0.051104,1.08,13.74
15.0,160.49,1810,1246,0.058406,1.2337,15.85,107.0,90.95,0.051925,1.1,13.98
17.5,27.5,365,250,0.058406,1.2337,15.85,15.72,12.97,0.048779,1.03,13.08
15.0,797.94,1805,1241,0.058406,1.2337,15.85,106.39,90.43,0.051918,1.1,13.97
15.0,159.59,1805,1241,0.058406,1.2337,15.85,106.39,90.43,0.051918,1.1,13.97
15.0,118.17,1445,995,0.058406,1.2337,15.85,78.78,66.96,0.05153,1.09,13.86
15.0,118.17,1445,995,0.058406,1.2337,15.85,78.78,66.96,0.05153,1.09,13.86
15.0,118.17,1445,995,0.058406,1.2337,15.85,78.78,66.96,0.05153,1.09,13.86
15.0,99.58,1266,872,0.058406,1.2337,15.85,66.39,56.43,0.051325,1.08,13.8
15.0,82.02,1085,747,0.058406,1.2337,15.85,54.68,46.48,0.051109,1.08,13.74
15.0,82.02,1085,747,0.058406,1.2337,15.85,54.68,46.48,0.051109,1.08,13.74
15.0,2544.45,1468,1008,0.058254,1.2305,15.81,79.86,67.88,0.051412,1.09,13.83
15.0,82.61,1095,753,0.058279,1.231,15.81,55.07,46.81,0.051005,1.08,13.71
0.0,0.0,1239,854,0.058261,1.2306,15.81,64.44,64.44,0.058261,1.23,15.81
0.0,0.0,1239,854,0.058261,1.2306,15.81,64.44,64.44,0.058261,1.23,15.81
15.0,100.76,1278,882,0.058279,1.231,15.81,67.18,57.1,0.051227,1.08,13.78
0.0,0.0,1609,1105,0.058235,1.2301,15.8,90.28,90.28,0.058235,1.23,15.8
0.0,0.0,1609,1105,0.058235,1.2301,15.8,90.28,90.28,0.058235,1.23,15.8
15.0,584.34,1441,991,0.058152,1.2283,15.78,77.91,66.23,0.051292,1.08,13.79
15.0,1170.24,1442,992,0.058152,1.2283,15.78,78.02,66.31,0.051294,1.08,13.79
15.0,162.4,1080,744,0.058168,1.2286,15.78,54.13,46.01,0.050889,1.07,13.68
17.5,54.34,665,458,0.058144,1.2282,15.78,30.5,25.16,0.049021,1.03,13.15
17.5,54.34,665,458,0.058144,1.2282,15.78,30.5,25.16,0.049021,1.03,13.15
15.0,210.02,2191,1506,0.058152,1.2283,15.78,140.01,119.01,0.052069,1.1,14.02
15.0,583.57,1438,990,0.058152,1.2283,15.78,77.81,66.14,0.051291,1.08,13.79
15.0,7903.88,1800,1238,0.058152,1.2283,15.78,105.39,89.58,0.051679,1.09,13.91
15.0,581.12,1437,989,0.058025,1.2256,15.74,77.48,65.86,0.051174,1.08,13.76
15.0,787.08,1796,1237,0.058025,1.2256,15.74,104.94,89.2,0.051561,1.09,13.87
0.0,0.0,1518,1042,0.057871,1.2224,15.7,82.73,82.73,0.057871,1.22,15.7
0.0,0.0,1518,1042,0.057871,1.2224,15.7,82.73,82.73,0.057871,1.22,15.7
15.0,81.94,1093,753,0.057898,1.2229,15.7,54.63,46.43,0.050664,1.07,13.61
15.0,118.83,1468,1008,0.057898,1.2229,15.7,79.22,67.34,0.051089,1.08,13.74
15.0,785.56,1800,1238,0.057898,1.2229,15.7,104.74,89.03,0.051446,1.09,13.84
15.0,161.05,1832,1260,0.057898,1.2229,15.7,107.36,91.26,0.051479,1.09,13.85
15.0,404.35,1080,745,0.057898,1.2229,15.7,53.91,45.83,0.05065,1.07,13.61
15.0,157.82,1804,1242,0.057898,1.2229,15.7,105.22,89.43,0.051452,1.09,13.84
